chrom	start	stop	regid
5	3361941	7143218	E_3
5	7143218	11173271	E_6
5	11173271	16963613	E_9
5	16963613	22152073	E_12
5	22152073	26857604	E_15
5	26857604	31390249	E_18
5	31390249	36433954	E_21
5	36433954	41888710	E_24
5	41888710	52134622	E_27
5	52134622	56621102	E_30
5	56621102	60935907	E_33
5	60935907	63968304	E_36
5	63968304	71240456	E_39
5	71240456	77623332	E_42
5	77623332	82025648	E_45
5	82025648	87389991	E_48
5	87389991	91840542	E_51
5	91840542	97315601	E_54
5	97315601	103320005	E_57
5	103320005	107264196	E_60
5	107264196	111981562	E_63
5	111981562	115831047	E_66
5	115831047	119669042	E_69
5	119669042	123798100	E_72
5	123798100	129519025	E_75
5	129519025	136376050	E_78
5	136376050	142981248	E_81
5	142981248	148662624	E_84
5	148662624	153773088	E_87
5	153773088	158825698	E_90
5	158825698	162743908	E_93
5	162743908	166847740	E_96
5	166847740	171074292	E_99
5	171074292	175450595	E_102
5	175450595	179401244	E_105
5	179401244	180885156	E_108
6	73924	3573593	F_0
6	3573593	6785207	F_3
6	6785207	10540317	F_6
6	10540317	14802924	F_9
6	14802924	21684065	F_12
6	21684065	24852275	F_15
6	24852275	28017819	F_18
6	28017819	30798168	F_21
6	30798168	33236497	F_24
6	33236497	39295677	F_27
6	39295677	43756169	F_30
6	43756169	48391125	F_33
6	48391125	53279102	F_36
6	53279102	57599465	F_39
6	57599465	65765742	F_42
6	65765742	69523448	F_45
6	69523448	75462003	F_48
6	75462003	80691170	F_51
6	80691170	85209989	F_54
6	85209989	89973052	F_57
6	89973052	94118142	F_60
6	94118142	97842284	F_63
6	97842284	103983395	F_66
6	103983395	108464380	F_69
6	108464380	114220833	F_72
6	114220833	118963115	F_75
6	118963115	121905676	F_78
6	121905676	127540461	F_81
6	127540461	132765669	F_84
6	132765669	137614218	F_87
6	137614218	142288479	F_90
6	142288479	148920352	F_93
6	148920352	153094496	F_96
6	153094496	158218719	F_99
6	158218719	162931203	F_102
6	162931203	167024733	F_105
6	167024733	170330173	F_108
6	170330173	171051270	F_111
7	16161	2062398	G_0
7	2062398	5416232	G_3
7	5416232	7808752	G_6
7	7808752	11299198	G_9
7	11299198	15143657	G_12
7	15143657	20124908	G_15
7	20124908	25077259	G_18
7	25077259	31137289	G_21
7	31137289	37555184	G_24
7	37555184	42001811	G_27
7	42001811	45952922	G_30
7	45952922	51675322	G_33
7	51675322	55691584	G_36
7	55691584	63641125	G_39
7	63641125	69085364	G_42
7	69085364	76458564	G_45
7	76458564	82022686	G_48
7	82022686	87825004	G_51
7	87825004	93966601	G_54
7	93966601	98715474	G_57
7	98715474	103197510	G_60
7	103197510	107780178	G_63
7	107780178	113712387	G_66
7	113712387	121045273	G_69
7	121045273	124167552	G_72
7	124167552	128778386	G_75
7	128778386	134307596	G_78
7	134307596	138744679	G_81
7	138744679	141226557	G_84
7	141226557	146427960	G_87
7	146427960	150711505	G_90
7	150711505	154964730	G_93
7	154964730	159128575	G_96
8	10422	2042942	H_0
8	2042942	3783017	H_3
8	3783017	6142797	H_6
8	6142797	9640787	H_9
8	9640787	13491775	H_12
8	13491775	17387876	H_15
8	17387876	20060856	H_18
8	20060856	24674718	H_21
8	24674718	28162392	H_24
8	28162392	31548360	H_27
8	31548360	37379389	H_30
8	37379389	41721454	H_33
8	41721454	50082470	H_36
8	50082470	55945581	H_39
8	55945581	59728100	H_42
8	59728100	65232872	H_45
8	65232872	70867979	H_48
8	70867979	75445064	H_51
8	75445064	81956395	H_54
8	81956395	85955619	H_57
8	85955619	90638162	H_60
8	90638162	96534806	H_63
8	96534806	104123306	H_66
8	104123306	108648177	H_69
8	108648177	111850847	H_72
8	111850847	119685457	H_75
8	119685457	125683719	H_78
8	125683719	130381139	H_81
8	130381139	134570001	H_84
8	134570001	139254830	H_87
8	139254830	144236881	H_90
8	144236881	146303867	H_93
9	10023	3190064	I_0
9	3190064	6557589	I_3
9	6557589	9166403	I_6
9	9166403	14836363	I_9
9	14836363	20463534	I_12
9	20463534	25330810	I_15
9	25330810	28811584	I_18
9	28811584	32019368	I_21
9	32019368	36743283	I_24
9	36743283	72512711	I_27
9	72512711	76203946	I_30
9	76203946	79471208	I_33
9	79471208	84211233	I_36
9	84211233	88109333	I_39
9	88109333	92528698	I_42
9	92528698	98922040	I_45
9	98922040	105967976	I_48
9	105967976	110695062	I_51
9	110695062	115693145	I_54
9	115693145	121321537	I_57
9	121321537	126971887	I_60
9	126971887	132165470	I_63
9	132165470	135298842	I_66
9	135298842	138938978	I_69
9	138938978	141144796	I_72
10	60523	2254500	J_0
10	2254500	5983762	J_3
10	5983762	10249396	J_6
10	10249396	15026068	J_9
10	15026068	19716878	J_12
10	19716878	25578596	J_15
10	25578596	29783692	J_18
10	29783692	33707968	J_21
10	33707968	37790029	J_24
10	37790029	44730075	J_27
10	44730075	53616629	J_30
10	53616629	57662146	J_33
10	57662146	61891409	J_36
10	61891409	65794114	J_39
10	65794114	70195991	J_42
10	70195991	75422550	J_45
10	75422550	82414679	J_48
10	82414679	87937577	J_51
10	87937577	92006581	J_54
10	92006581	96221243	J_57
10	96221243	100668400	J_60
10	100668400	106695048	J_63
10	106695048	112561493	J_66
10	112561493	119523934	J_69
10	119523934	123231465	J_72
10	123231465	128001098	J_75
10	128001098	131741327	J_78
10	131741327	134494673	J_81
10	134494673	135523865	J_84
11	70855	4746709	K_0
11	4746709	8333274	K_3
11	8333274	12564229	K_6
11	12564229	17578402	K_9
11	17578402	22374142	K_12
11	22374142	27020461	K_15
11	27020461	32276901	K_18
11	32276901	37116815	K_21
11	37116815	44693799	K_24
11	44693799	54695473	K_27
11	54695473	58780549	K_30
11	58780549	65898631	K_33
11	65898631	70926292	K_36
11	70926292	76797209	K_39
11	76797209	81266712	K_42
11	81266712	87430235	K_45
11	87430235	92077144	K_48
11	92077144	95726041	K_51
11	95726041	100417169	K_54
11	100417169	104873284	K_57
11	104873284	108437037	K_60
11	108437037	112459488	K_63
11	112459488	116383348	K_66
11	116383348	120766806	K_69
11	120766806	123500117	K_72
11	123500117	127316679	K_75
11	127316679	131074612	K_78
11	131074612	134946452	K_81
12	61107	3677037	L_0
12	3677037	6419753	L_3
12	6419753	10481534	L_6
12	10481534	15241484	L_9
12	15241484	20863943	L_12
12	20863943	27799773	L_15
12	27799773	32165592	L_18
12	32165592	39227169	L_21
12	39227169	43984474	L_24
12	43984474	49001866	L_27
12	49001866	54778823	L_30
12	54778823	59308666	L_33
12	59308666	65559695	L_36
12	65559695	69826542	L_39
12	69826542	73818454	L_42
12	73818454	80448150	L_45
12	80448150	84303844	L_48
12	84303844	92066155	L_51
12	92066155	97108839	L_54
12	97108839	101862690	L_57
12	101862690	106436213	L_60
12	106436213	110336719	L_63
12	110336719	115036602	L_66
12	115036602	118135375	L_69
12	118135375	124977980	L_72
12	124977980	129237297	L_75
12	129237297	132807034	L_78
12	132807034	133841511	L_81
13	19020013	23594702	M_0
13	23594702	27284362	M_3
13	27284362	32301815	M_6
13	32301815	36046367	M_9
13	36046367	41069263	M_12
13	41069263	46495214	M_15
13	46495214	51591091	M_18
13	51591091	55817131	M_21
13	55817131	59302271	M_24
13	59302271	63971559	M_27
13	63971559	70724516	M_30
13	70724516	75670143	M_33
13	75670143	80585676	M_36
13	80585676	85610916	M_39
13	85610916	93129691	M_42
13	93129691	97519210	M_45
13	97519210	102300523	M_48
13	102300523	106247554	M_51
13	106247554	109121210	M_54
13	109121210	112247592	M_57
13	112247592	115109853	M_60
14	19002084	24905123	N_0
14	24905123	29972145	N_3
14	29972145	35859593	N_6
14	35859593	41615502	N_9
14	41615502	46081896	N_12
14	46081896	49005471	N_15
14	49005471	53474383	N_18
14	53474383	56216880	N_21
14	56216880	61680424	N_24
14	61680424	66399555	N_27
14	66399555	72889615	N_30
14	72889615	78561945	N_33
14	78561945	83138097	N_36
14	83138097	86647002	N_39
14	86647002	91296860	N_42
14	91296860	95750867	N_45
14	95750867	99138532	N_48
14	99138532	105001723	N_51
14	105001723	107289454	N_54
15	20001200	25108590	O_0
15	25108590	30165568	O_3
15	30165568	34015425	O_6
15	34015425	38530777	O_9
15	38530777	42776399	O_12
15	42776399	48136048	O_15
15	48136048	53069096	O_18
15	53069096	56901773	O_21
15	56901773	61265836	O_24
15	61265836	67094767	O_27
15	67094767	71922649	O_30
15	71922649	78516053	O_33
15	78516053	86652905	O_36
15	86652905	92164392	O_39
15	92164392	96141596	O_42
15	96141596	100636847	O_45
15	100636847	102520966	O_48
16	60054	4001196	P_0
16	4001196	6893551	P_3
16	6893551	9799419	P_6
16	9799419	12613098	P_9
16	12613098	16154060	P_12
16	16154060	20150571	P_15
16	20150571	25986862	P_18
16	25986862	31382943	P_21
16	31382943	52035823	P_24
16	52035823	57664330	P_27
16	57664330	62229849	P_30
16	62229849	68841363	P_33
16	68841363	74971503	P_36
16	74971503	78456292	P_39
16	78456292	81772536	P_42
16	81772536	84445883	P_45
16	84445883	86815411	P_48
16	86815411	90292812	P_51
17	56	3702312	Q_0
17	3702312	7317398	Q_3
17	7317398	11102815	Q_6
17	11102815	13894637	Q_9
17	13894637	18856320	Q_12
17	18856320	29786491	Q_15
17	29786491	34469036	Q_18
17	34469036	39899810	Q_21
17	39899810	45876022	Q_24
17	45876022	50719055	Q_27
17	50719055	55357541	Q_30
17	55357541	61545589	Q_33
17	61545589	67858770	Q_36
17	67858770	74375560	Q_39
17	74375560	78837588	Q_42
17	78837588	81194908	Q_45
18	10644	3891658	R_0
18	3891658	8498931	R_3
18	8498931	14440799	R_6
18	14440799	22996651	R_9
18	22996651	26875587	R_12
18	26875587	31780067	R_15
18	31780067	36365490	R_18
18	36365490	42922106	R_21
18	42922106	47730584	R_24
18	47730584	55213838	R_27
18	55213838	59020751	R_30
18	59020751	63463402	R_33
18	63463402	67175820	R_36
18	67175820	71038474	R_39
18	71038474	74813815	R_42
18	74813815	78017158	R_45
19	80840	3019660	S_0
19	3019660	6684885	S_3
19	6684885	11284028	S_6
19	11284028	15648610	S_9
19	15648610	19877471	S_12
19	19877471	23467746	S_15
19	23467746	30727954	S_18
19	30727954	36469295	S_21
19	36469295	40984601	S_24
19	40984601	44744108	S_27
19	44744108	49282227	S_30
19	49282227	54602362	S_33
19	54602362	59118839	S_36
20	60479	3828413	T_0
20	3828413	8117011	T_3
20	8117011	12447499	T_6
20	12447499	17487232	T_9
20	17487232	22491456	T_12
20	22491456	25344231	T_15
20	25344231	34960446	T_18
20	34960446	39610856	T_21
20	39610856	42680176	T_24
20	42680176	49239658	T_27
20	49239658	56447959	T_30
20	56447959	61301855	T_33
20	61301855	62965163	T_36
21	9411243	19480375	U_0
21	19480375	23362875	U_3
21	23362875	27271019	U_6
21	27271019	32668642	U_9
21	32668642	36524373	U_12
21	36524373	40482902	U_15
21	40482902	44506268	U_18
21	44506268	48119752	U_21
22	16050408	19912358	V_0
22	19912358	24984204	V_3
22	24984204	29651799	V_6
22	29651799	34494914	V_9
22	34494914	39307894	V_12
22	39307894	43714200	V_15
22	43714200	47596318	V_18
22	47596318	51243298	V_21
